Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
103,Luciano Cabral,cl CHI,"FW,MF",León,30-009,1995,11.9,674,16,73,392,217,13,674,33,17,51.5,16,48.5,368,1699,723,12,13,0,24,17,465,57,Matches
104,Sebastián Cáceres,uy URU,DF,América,25-260,1999,9.1,616,58,375,231,13,8,616,4,2,50.0,2,50.0,339,1512,677,0,1,0,8,1,370,1,Matches
105,Jhonder Cádiz,ve VEN,FW,León,29-280,1995,23.3,673,29,38,314,325,124,671,17,7,41.2,10,58.8,350,1695,743,28,19,18,63,27,504,114,Matches
106,José Caicedo,co COL,MF,UNAM,22-347,2002,31.9,2106,85,453,1459,205,25,2106,27,13,48.1,14,51.9,1189,5189,2503,21,36,1,28,20,1501,32,Matches
107,Cristian Calderón,mx MEX,DF,América,27-346,1997,18.3,1255,62,424,572,270,25,1255,23,8,34.8,15,65.2,611,2649,1236,11,13,2,21,12,730,76,Matches
108,Francisco Calvo,cr CRC,DF,FC Juárez,32-301,1992,3.0,187,26,96,87,7,5,187,3,2,66.7,1,33.3,108,524,292,1,0,0,3,1,118,0,Matches
109,Raúl Camacho,mx MEX,"FW,DF",Mazatlán,23-047,2002,3.8,101,3,8,44,50,13,101,5,0,0.0,5,100.0,45,169,35,2,3,0,10,4,60,11,Matches
110,Hugo Camberos,mx MEX,"FW,MF",Guadalajara,18-288,2006,9.7,445,7,52,181,220,24,445,40,18,45.0,21,52.5,264,1726,848,38,25,13,24,13,276,63,Matches
111,Diber Cambindo,co COL,FW,Necaxa,29-077,1996,24.0,660,17,31,251,392,120,660,58,24,41.4,33,56.9,361,2046,951,39,32,25,98,50,495,141,Matches
112,Diego Campillo,mx MEX,MF,FC Juárez,23-198,2001,24.5,1241,65,298,796,161,13,1241,35,20,57.1,13,37.1,695,4096,1920,28,35,1,27,22,759,31,Matches
113,Omar Campos,mx MEX,DF,Cruz Azul,22-289,2002,1.6,95,6,26,32,37,2,95,3,0,0.0,3,100.0,57,465,249,8,4,0,2,3,59,14,Matches
114,Sergio Canales,es ESP,"MF,FW",Monterrey,34-078,1991,29.3,2120,7,139,1007,992,77,2114,61,29,47.5,31,50.8,1316,7817,3550,91,93,15,54,36,1601,209,Matches
115,Luis Cañamar,mx MEX,DF,Atlético,22-354,2002,1.0,69,1,18,42,10,1,69,5,2,40.0,3,60.0,31,202,38,1,0,0,2,2,38,3,Matches
116,Camilo Cándido,uy URU,"DF,MF",Cruz Azul,29-337,1995,2.5,209,8,53,106,54,7,209,5,5,100.0,0,0.0,88,354,174,2,4,1,1,3,133,16,Matches
117,Luis Cárdenas,mx MEX,GK,Monterrey,31-232,1993,10.0,354,292,352,2,0,0,354,0,0,,0,,182,907,607,0,0,0,0,0,140,0,Matches
118,Rafael Carioca,br BRA,MF,UANL,35-321,1989,15.7,1140,34,265,754,139,0,1140,14,8,57.1,6,42.9,636,2484,1171,9,12,0,15,10,792,12,Matches
119,Jan Carmona,mx MEX,"MF,FW",FC Juárez,21-014,2004,1.2,37,0,9,19,9,0,37,3,0,0.0,3,100.0,17,88,14,1,0,0,0,3,21,1,Matches
120,Héctor Carranza,mx MEX,MF,Santos,21-122,2004,0.1,6,0,1,3,2,0,6,0,0,,0,,3,6,2,0,0,0,0,0,4,0,Matches
121,Adalberto Carrasquilla,pa PAN,MF,UNAM,26-158,1998,11.2,623,6,65,371,198,14,622,28,17,60.7,11,39.3,369,2011,1128,30,30,5,23,19,474,39,Matches
122,Jordan Carrillo,mx MEX,"MF,FW",Santos,23-156,2001,15.4,992,8,121,592,297,25,992,88,52,59.1,34,38.6,652,3802,1723,41,35,4,38,24,743,80,Matches
123,Stephano Carrillo,mx MEX,"FW,MF",Santos,19-059,2006,4.5,147,2,7,78,65,16,147,10,4,40.0,6,60.0,102,550,185,10,4,7,17,3,114,32,Matches
124,Guilherme Carvalho,br BRA,MF,FC Juárez,25-228,1999,24.2,1283,56,244,597,453,34,1283,30,6,20.0,21,70.0,577,2805,1295,30,33,5,40,26,752,68,Matches
