Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
145,Jack Clarke,eng ENG,FW,Sunderland,24-162,2000,2.0,2,1,2,0,0,1,5,20.0,4,2,0,2,0,2,2,0,Matches
146,Matthew Clarke,eng ENG,DF,Derby County,28-224,1996,15.2,29,16,20,8,1,11,19,57.9,8,20,8,12,19,48,112,0,Matches
147,Matthew Clarke,eng ENG,DF,Middlesbrough,28-224,1996,12.4,25,18,13,12,0,12,15,80.0,3,17,9,8,17,42,64,1,Matches
148,Jake Clarke-Salter,eng ENG,DF,QPR,27-224,1997,8.4,14,7,8,6,0,5,8,62.5,3,10,6,4,4,18,40,0,Matches
149,Josh Coburn,eng ENG,MF,Middlesbrough,22-149,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
150,Josh Coburn,eng ENG,FW,Millwall,22-149,2002,13.5,10,8,2,5,3,2,3,66.7,1,9,2,7,2,12,16,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
151,Jack Colback,eng ENG,MF,QPR,35-192,1989,16.1,25,13,12,11,2,12,18,66.7,6,17,3,14,11,36,18,0,Matches
152,Devante Cole,eng ENG,"FW,MF",West Brom,29-359,1995,1.8,2,1,1,1,0,1,3,33.3,2,5,1,4,1,3,3,0,Matches
153,Bradley Collins,eng ENG,GK,Coventry City,28-075,1997,14.6,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,10,3,Matches
154,James Collins,ie IRL,"FW,MF",Derby County,34-154,1990,2.5,1,1,0,0,1,0,4,0.0,4,5,1,4,2,3,6,0,Matches
155,Jamilu Collins,ng NGA,DF,Cardiff City,30-272,1994,1.8,5,3,3,1,1,4,5,80.0,1,1,0,1,2,7,13,0,Matches
