Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
103,André Castro,pt POR,MF,Moreirense,37-033,1988,0.2,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
104,Cristian Castro,co COL,DF,AVS Futebol,24-100,2001,27.6,19,0.69,13,1,1,1,2,1,2,0.07,1,0,0,1,0,0,Matches
105,Geny Catamo,mz MOZ,"MF,DF",Sporting CP,24-099,2001,19.3,72,3.74,51,5,5,7,4,0,5,0.26,4,0,0,1,0,0,Matches
106,Cauê,br BRA,FW,Gil Vicente FC,22-170,2002,7.4,7,0.94,4,0,1,2,0,0,1,0.13,1,0,0,0,0,0,Matches
107,Cauê,br BRA,"FW,MF",Casa Pia,22-170,2002,3.9,6,1.56,3,0,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
108,César,br BRA,GK,Boavista,33-098,1992,16.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
109,Tidjany Chabrol,fr FRA,"FW,MF",Gil Vicente FC,22-294,2002,11.6,29,2.49,16,2,5,3,3,0,4,0.34,1,1,1,1,0,0,Matches
110,Kevin Chamorro,cr CRC,GK,Estoril,25-027,2000,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
111,Francisco Chissumba,pt POR,DF,Braga,19-341,2005,14.0,24,1.71,19,0,3,1,0,1,2,0.14,1,0,0,0,0,1,Matches
112,Till Cissokho,fr FRA,DF,Estrela,25-086,2000,4.0,4,1.00,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
113,Clayton,br BRA,DF,AVS Futebol,25-031,2000,2.0,2,1.00,2,0,0,0,0,0,1,0.50,1,0,0,0,0,0,Matches
114,Clayton,br BRA,FW,Rio Ave,26-114,1999,27.1,44,1.62,12,0,9,10,10,3,6,0.22,1,0,3,0,2,0,Matches
115,Diego Collado,es ESP,"MF,FW",Gil Vicente FC,24-116,2001,0.3,1,3.75,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
116,Semeu Commey,gh GHA,DF,Estrela,20-358,2004,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
117,Fábio Conceição,pt POR,"FW,MF",Estrela,24-007,2001,6.8,9,1.32,4,1,1,1,1,1,0,0.00,0,0,0,0,0,0,Matches
118,Fábio Conceição,pt POR,"FW,DF",Rio Ave,24-007,2001,4.7,14,2.98,8,0,4,0,1,1,3,0.64,2,0,1,0,0,0,Matches
119,Leo Cordeiro,br BRA,MF,Estrela,29-220,1995,19.3,39,2.02,32,1,2,3,0,1,2,0.10,2,0,0,0,0,0,Matches
120,Félix Correia,pt POR,"FW,MF",Gil Vicente FC,24-103,2001,30.1,100,3.32,72,22,3,1,0,2,7,0.23,7,0,0,0,0,0,Matches
121,Alberto costa,pt POR,DF,Vitória,21-218,2003,7.5,26,3.47,21,3,1,0,1,0,6,0.80,3,1,1,0,1,0,Matches
122,Bruno Xavier Almeida Costa,pt POR,"MF,FW",Nacional,28-016,1997,10.3,43,4.21,20,15,3,2,3,0,3,0.29,2,1,0,0,0,0,Matches
123,Diogo Costa,pt POR,GK,Porto,25-228,1999,30.0,4,0.13,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
124,Gonçalo Costa,pt POR,"DF,MF",Estoril,25-076,2000,4.4,8,1.83,6,1,0,0,1,0,1,0.23,1,0,0,0,0,0,Matches
